"Data","Q_25200000","CSS","Fonte"
"1972-01-01",1507.06,NA,NA
"1972-01-02",1210.38,NA,NA
"1972-01-03",1043.2,NA,NA
"1972-01-04",931.263,NA,NA
"1972-01-05",853.975,NA,NA
"1972-01-06",774.065,NA,NA
"1972-01-07",788.846,NA,NA
"1972-01-08",769.159,NA,NA
"1972-01-09",808.699,NA,NA
"1972-01-10",848.903,NA,NA
"1972-01-11",884.619,NA,NA
"1972-01-12",905.249,NA,NA
"1972-01-13",833.75,NA,NA
"1972-01-14",769.159,NA,NA
"1972-01-15",695.63,NA,NA
"1972-01-16",769.159,NA,NA
"1972-01-17",716.185,NA,NA
"1972-01-18",774.065,NA,NA
"1972-01-19",823.699,NA,NA
"1972-01-20",936.495,NA,NA
"1972-01-21",833.75,NA,NA
"1972-01-22",848.903,NA,NA
"1972-01-23",759.379,NA,NA
"1972-01-24",759.379,NA,NA
"1972-01-25",833.75,NA,NA
"1972-01-26",798.752,NA,NA
"1972-01-27",1054.08,NA,NA
"1972-01-28",1385.76,NA,NA
"1972-01-29",1332.31,NA,NA
"1972-01-30",1452.05,NA,NA
"1972-01-31",1531.73,NA,NA
"1972-02-01",1779.22,NA,NA
"1972-02-02",1740.34,NA,NA
"1972-02-03",1746.8,NA,NA
"1972-02-04",1779.22,NA,NA
"1972-02-05",1568.99,NA,NA
"1972-02-06",1458.13,NA,NA
"1972-02-07",1409.75,NA,NA
"1972-02-08",1373.82,NA,NA
"1972-02-09",1600.27,NA,NA
"1972-02-10",1488.65,NA,NA
"1972-02-11",1403.74,NA,NA
"1972-02-12",1291.23,NA,NA
"1972-02-13",1250.59,NA,NA
"1972-02-14",1344.13,NA,NA
"1972-02-15",1427.83,NA,NA
"1972-02-16",1464.22,NA,NA
"1972-02-17",1644.4,NA,NA
"1972-02-18",2149.72,NA,NA
"1972-02-19",2400.88,NA,NA
"1972-02-20",2512.74,NA,NA
"1972-02-21",2617.6,NA,NA
"1972-02-22",2108.82,NA,NA
"1972-02-23",2358.34,NA,NA
"1972-02-24",2392.35,NA,NA
"1972-02-25",2207.44,NA,NA
"1972-02-26",2232.34,NA,NA
"1972-02-27",2417.97,NA,NA
"1972-02-28",1971.88,NA,NA
"1972-02-29",1714.58,NA,NA
"1972-03-01",1619.13,NA,NA
"1972-03-02",1830.47,NA,NA
"1972-03-03",2068.21,NA,NA
"1972-03-04",1963.92,NA,NA
"1972-03-05",1830.47,NA,NA
"1972-03-06",1631.75,NA,NA
"1972-03-07",1513.22,NA,NA
"1972-03-08",1439.92,NA,NA
"1972-03-09",1373.82,NA,NA
"1972-03-10",1367.87,NA,NA
"1972-03-11",1350.05,NA,NA
"1972-03-12",1326.42,NA,NA
"1972-03-13",1302.92,NA,NA
"1972-03-14",1285.4,NA,NA
"1972-03-15",1445.98,NA,NA
"1972-03-16",1439.92,NA,NA
"1972-03-17",1326.42,NA,NA
"1972-03-18",1262.15,NA,NA
"1972-03-19",1525.55,NA,NA
"1972-03-20",1779.22,NA,NA
"1972-03-21",1766.23,NA,NA
"1972-03-22",1695.34,NA,NA
"1972-03-23",1445.98,NA,NA
"1972-03-24",1267.95,NA,NA
"1972-03-25",1181.94,NA,NA
"1972-03-26",1216.1,NA,NA
"1972-03-27",1267.95,NA,NA
"1972-03-28",1332.31,NA,NA
"1972-03-29",1338.21,NA,NA
"1972-03-30",1297.07,NA,NA
"1972-03-31",1302.92,NA,NA
"1972-04-01",1332.31,NA,NA
"1972-04-02",1367.87,NA,NA
"1972-04-03",1397.74,NA,NA
"1972-04-04",1153.73,NA,NA
"1972-04-05",1043.2,NA,NA
"1972-04-06",1153.73,NA,NA
"1972-04-07",1210.38,NA,NA
"1972-04-08",1262.15,NA,NA
"1972-04-09",1320.53,NA,NA
"1972-04-10",1297.07,NA,NA
"1972-04-11",1262.15,NA,NA
"1972-04-12",1176.28,NA,NA
"1972-04-13",1037.77,NA,NA
"1972-04-14",962.806,NA,NA
"1972-04-15",920.828,NA,NA
"1972-04-16",889.761,NA,NA
"1972-04-17",869.251,NA,NA
"1972-04-18",915.625,NA,NA
"1972-04-19",910.432,NA,NA
"1972-04-20",874.364,NA,NA
"1972-04-21",859.057,NA,NA
"1972-04-22",828.719,NA,NA
"1972-04-23",783.908,NA,NA
"1972-04-24",764.264,NA,NA
"1972-04-25",707.939,NA,NA
"1972-04-26",695.63,NA,NA
"1972-04-27",683.392,NA,NA
"1972-04-28",675.273,NA,NA
"1972-04-29",667.185,NA,NA
"1972-04-30",655.114,NA,NA
"1972-05-01",635.158,NA,NA
"1972-05-02",611.478,NA,NA
"1972-05-03",595.857,NA,NA
"1972-05-04",580.369,NA,NA
"1972-05-05",561.198,NA,NA
"1972-05-06",549.797,NA,NA
"1972-05-07",534.715,NA,NA
"1972-05-08",527.227,NA,NA
"1972-05-09",519.772,NA,NA
"1972-05-10",512.353,NA,NA
"1972-05-11",504.969,NA,NA
"1972-05-12",493.959,NA,NA
"1972-05-13",483.029,NA,NA
"1972-05-14",475.786,NA,NA
"1972-05-15",472.179,NA,NA
"1972-05-16",468.58,NA,NA
"1972-05-17",461.41,NA,NA
"1972-05-18",454.277,NA,NA
"1972-05-19",447.18,NA,NA
"1972-05-20",443.645,NA,NA
"1972-05-21",440.119,NA,NA
"1972-05-22",433.096,NA,NA
"1972-05-23",422.63,NA,NA
"1972-05-24",419.161,NA,NA
"1972-05-25",433.096,NA,NA
"1972-05-26",440.119,NA,NA
"1972-05-27",530.967,NA,NA
"1972-05-28",619.339,NA,NA
"1972-05-29",667.185,NA,NA
"1972-05-30",647.107,NA,NA
"1972-05-31",580.369,NA,NA
"1972-06-01",530.967,NA,NA
"1972-06-02",501.29,NA,NA
"1972-06-03",475.786,NA,NA
"1972-06-04",457.839,NA,NA
"1972-06-05",447.18,NA,NA
"1972-06-06",440.119,NA,NA
"1972-06-07",433.096,NA,NA
"1972-06-08",426.109,NA,NA
"1972-06-09",419.161,NA,NA
"1972-06-10",412.249,NA,NA
"1972-06-11",405.376,NA,NA
"1972-06-12",398.54,NA,NA
"1972-06-13",398.54,NA,NA
"1972-06-14",391.743,NA,NA
"1972-06-15",384.984,NA,NA
"1972-06-16",378.264,NA,NA
"1972-06-17",371.583,NA,NA
"1972-06-18",371.583,NA,NA
"1972-06-19",364.941,NA,NA
"1972-06-20",358.338,NA,NA
"1972-06-21",355.052,NA,NA
"1972-06-22",351.775,NA,NA
"1972-06-23",345.252,NA,NA
"1972-06-24",345.252,NA,NA
"1972-06-25",345.252,NA,NA
"1972-06-26",338.77,NA,NA
"1972-06-27",338.77,NA,NA
"1972-06-28",345.252,NA,NA
"1972-06-29",342.006,NA,NA
"1972-06-30",338.77,NA,NA
"1972-07-01",338.77,NA,NA
"1972-07-02",338.77,NA,NA
"1972-07-03",332.327,NA,NA
"1972-07-04",329.121,NA,NA
"1972-07-05",325.925,NA,NA
"1972-07-06",319.565,NA,NA
"1972-07-07",313.245,NA,NA
"1972-07-08",310.101,NA,NA
"1972-07-09",306.967,NA,NA
"1972-07-10",303.844,NA,NA
"1972-07-11",300.731,NA,NA
"1972-07-12",297.629,NA,NA
"1972-07-13",294.537,NA,NA
"1972-07-14",300.731,NA,NA
"1972-07-15",306.967,NA,NA
"1972-07-16",338.77,NA,NA
"1972-07-17",345.252,NA,NA
"1972-07-18",351.775,NA,NA
"1972-07-19",358.338,NA,NA
"1972-07-20",364.941,NA,NA
"1972-07-21",371.583,NA,NA
"1972-07-22",374.919,NA,NA
"1972-07-23",378.264,NA,NA
"1972-07-24",371.583,NA,NA
"1972-07-25",364.941,NA,NA
"1972-07-26",358.338,NA,NA
"1972-07-27",351.775,NA,NA
"1972-07-28",345.252,NA,NA
"1972-07-29",325.925,NA,NA
"1972-07-30",294.537,NA,NA
"1972-07-31",288.385,NA,NA
"1972-08-01",285.326,NA,NA
"1972-08-02",282.277,NA,NA
"1972-08-03",282.277,NA,NA
"1972-08-04",279.238,NA,NA
"1972-08-05",276.211,NA,NA
"1972-08-06",276.211,NA,NA
"1972-08-07",270.189,NA,NA
"1972-08-08",270.189,NA,NA
"1972-08-09",267.194,NA,NA
"1972-08-10",270.189,NA,NA
"1972-08-11",270.189,NA,NA
"1972-08-12",276.211,NA,NA
"1972-08-13",291.456,NA,NA
"1972-08-14",300.731,NA,NA
"1972-08-15",300.731,NA,NA
"1972-08-16",325.925,NA,NA
"1972-08-17",351.775,NA,NA
"1972-08-18",391.743,NA,NA
"1972-08-19",422.63,NA,NA
"1972-08-20",371.583,NA,NA
"1972-08-21",358.338,NA,NA
"1972-08-22",345.252,NA,NA
"1972-08-23",306.967,NA,NA
"1972-08-24",291.456,NA,NA
"1972-08-25",282.277,NA,NA
"1972-08-26",276.211,NA,NA
"1972-08-27",276.211,NA,NA
"1972-08-28",264.21,NA,NA
"1972-08-29",252.385,NA,NA
"1972-08-30",252.385,NA,NA
"1972-08-31",246.539,NA,NA
"1972-09-01",246.539,NA,NA
"1972-09-02",246.539,NA,NA
"1972-09-03",237.856,NA,NA
"1972-09-04",234.984,NA,NA
"1972-09-05",229.275,NA,NA
"1972-09-06",229.275,NA,NA
"1972-09-07",223.612,NA,NA
"1972-09-08",217.996,NA,NA
"1972-09-09",217.996,NA,NA
"1972-09-10",217.996,NA,NA
"1972-09-11",217.996,NA,NA
"1972-09-12",234.984,NA,NA
"1972-09-13",232.124,NA,NA
"1972-09-14",229.275,NA,NA
"1972-09-15",229.275,NA,NA
"1972-09-16",243.633,NA,NA
"1972-09-17",240.739,NA,NA
"1972-09-18",258.275,NA,NA
"1972-09-19",270.189,NA,NA
"1972-09-20",276.211,NA,NA
"1972-09-21",276.211,NA,NA
"1972-09-22",270.189,NA,NA
"1972-09-23",264.21,NA,NA
"1972-09-24",258.275,NA,NA
"1972-09-25",252.385,NA,NA
"1972-09-26",246.539,NA,NA
"1972-09-27",240.739,NA,NA
"1972-09-28",234.984,NA,NA
"1972-09-29",229.275,NA,NA
"1972-09-30",223.612,NA,NA
"1972-10-01",223.612,NA,NA
"1972-10-02",234.984,NA,NA
"1972-10-03",240.739,NA,NA
"1972-10-04",246.539,NA,NA
"1972-10-05",258.275,NA,NA
"1972-10-06",288.385,NA,NA
"1972-10-07",329.121,NA,NA
"1972-10-08",391.743,NA,NA
"1972-10-09",426.109,NA,NA
"1972-10-10",447.18,NA,NA
"1972-10-11",475.786,NA,NA
"1972-10-12",516.058,NA,NA
"1972-10-13",553.589,NA,NA
"1972-10-14",568.841,NA,NA
"1972-10-15",615.404,NA,NA
"1972-10-16",828.719,NA,NA
"1972-10-17",1016.16,NA,NA
"1972-10-18",838.791,NA,NA
"1972-10-19",639.133,NA,NA
"1972-10-20",607.561,NA,NA
"1972-10-21",557.389,NA,NA
"1972-10-22",504.969,NA,NA
"1972-10-23",490.306,NA,NA
"1972-10-24",419.161,NA,NA
"1972-10-25",391.743,NA,NA
"1972-10-26",384.984,NA,NA
"1972-10-27",378.264,NA,NA
"1972-10-28",371.583,NA,NA
"1972-10-29",361.635,NA,NA
"1972-10-30",306.967,NA,NA
"1972-10-31",288.385,NA,NA
"1972-11-01",294.537,NA,NA
"1972-11-02",335.543,NA,NA
"1972-11-03",368.257,NA,NA
"1972-11-04",381.619,NA,NA
"1972-11-05",412.249,NA,NA
"1972-11-06",464.991,NA,NA
"1972-11-07",584.228,NA,NA
"1972-11-08",655.114,NA,NA
"1972-11-09",989.361,NA,NA
"1972-11-10",884.619,NA,NA
"1972-11-11",615.404,NA,NA
"1972-11-12",576.518,NA,NA
"1972-11-13",557.389,NA,NA
"1972-11-14",549.797,NA,NA
"1972-11-15",695.63,NA,NA
"1972-11-16",745.289,NA,NA
"1972-11-17",936.495,NA,NA
"1972-11-18",1385.76,NA,NA
"1972-11-19",1476.42,NA,NA
"1972-11-20",1445.98,NA,NA
"1972-11-21",1452.05,NA,NA
"1972-11-22",1979.84,NA,NA
"1972-11-23",2813.74,NA,NA
"1972-11-24",2366.82,NA,NA
"1972-11-25",1940.13,NA,NA
"1972-11-26",1948.05,NA,NA
"1972-11-27",1708.16,NA,NA
"1972-11-28",1638.07,NA,NA
"1972-11-29",1575.23,NA,NA
"1972-11-30",1439.92,NA,NA
"1972-12-01",1181.94,NA,NA
"1972-12-02",1048.64,NA,NA
"1972-12-03",1005.41,NA,NA
"1972-12-04",973.399,NA,NA
"1972-12-05",931.263,NA,NA
"1972-12-06",910.432,NA,NA
"1972-12-07",900.077,NA,NA
"1972-12-08",874.364,NA,NA
"1972-12-09",838.791,NA,NA
"1972-12-10",803.72,NA,NA
"1972-12-11",798.752,NA,NA
"1972-12-12",936.495,NA,NA
"1972-12-13",1043.2,NA,NA
"1972-12-14",1239.05,NA,NA
"1972-12-15",1415.76,NA,NA
"1972-12-16",1908.57,NA,NA
"1972-12-17",2068.21,NA,NA
"1972-12-18",2224.03,NA,NA
"1972-12-19",2174.39,NA,NA
"1972-12-20",2174.39,NA,NA
"1972-12-21",2265.7,NA,NA
"1972-12-22",2400.88,NA,NA
"1972-12-23",2504.07,NA,NA
"1972-12-24",2600.01,NA,NA
"1972-12-25",3024.12,NA,NA
"1972-12-26",3211.4,NA,NA
"1972-12-27",3258.84,NA,NA
"1972-12-28",3249.33,NA,NA
"1972-12-29",3239.83,NA,NA
"1972-12-30",3258.84,NA,NA
"1972-12-31",3316.09,NA,NA
"1973-01-01",3211.4,NA,NA
"1973-01-02",3107.9,NA,NA
"1973-01-03",3024.12,NA,NA
"1973-01-04",2922.83,NA,NA
"1973-01-05",2877.2,NA,NA
"1973-01-06",2573.72,NA,NA
"1973-01-07",2274.07,NA,NA
"1973-01-08",1908.57,NA,NA
"1973-01-09",1587.73,NA,NA
"1973-01-10",1439.92,NA,NA
"1973-01-11",1355.98,NA,NA
"1973-01-12",1291.23,NA,NA
"1973-01-13",1239.05,NA,NA
"1973-01-14",1176.28,NA,NA
"1973-01-15",1164.98,NA,NA
"1973-01-16",1120.17,NA,NA
"1973-01-17",1086.96,NA,NA
"1973-01-18",1120.17,NA,NA
"1973-01-19",1326.42,NA,NA
"1973-01-20",1445.98,NA,NA
"1973-01-21",1695.34,NA,NA
"1973-01-22",1830.47,NA,NA
"1973-01-23",1940.13,NA,NA
"1973-01-24",2019.84,NA,NA
"1973-01-25",2100.68,NA,NA
"1973-01-26",2174.39,NA,NA
"1973-01-27",2215.73,NA,NA
"1973-01-28",2290.83,NA,NA
"1973-01-29",2316.07,NA,NA
"1973-01-30",2149.72,NA,NA
"1973-01-31",1987.82,NA,NA
